ID,Prediction
1,1.803227
2,0.367371
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.1763228
9,3.252476
10,0.4646683
11,2.0
12,0.4329594
13,0.0
14,0.5655972
15,0.0
16,0.0
17,0.3219281
18,2.778208
19,0.0
20,0.367371
21,0.1763228
22,0.0
23,0.0
24,0.8318772
25,0.0
26,0.4329594
27,0.641546
28,0.0
29,0.0
30,0.422233
31,1.232661
32,0.0
33,2.124328
34,0.0
35,0.3448285
36,0.0
37,0.4005378
38,0.0
39,0.0
40,1.344828
41,0.3895667
42,0.2509616
43,0.1763228
44,0.0
45,0.4956951
46,0.3219281
47,0.5753123
48,0.0
49,0.9107327
50,0.9927685
51,0.0
52,3.708187
53,0.0
54,0.0
55,0.1634987
56,0.0
57,0.7484613
58,0.0
59,0.1763228
60,1.31034
61,0.0
62,0.2509616
63,2.364573
64,0.5558162
65,0.3219281
66,0.0
67,1.169925
68,2.250962
69,0.0
70,0.5459684
71,0.0
72,2.742006
73,1.124328
74,0.0
75,0.0
76,0.2750071
77,0.0
78,0.0
79,0.0
80,0.4329594
81,0.0
82,0.0
83,1.687061
84,0.0
85,0.3219281
86,0.0
87,0.0
88,0.7824086
89,1.879706
90,0.1763228
91,0.0
92,0.0
93,0.0
94,3.321928
95,0.8953027
96,0.1505597
97,0.7824086
98,0.7311833
99,0.3334237
100,2.238787
101,0.0
102,0.0
103,0.6322682
104,0.0
105,0.8639384
106,0.0
107,0.0
108,0.6599245
109,0.1763228
110,0.1763228
111,0.704872
112,0.6040713
113,0.6507645
114,0.0
115,0.9107327
116,0.7824086
117,0.0
118,0.0
119,1.570463
120,0.2265085
121,0.0
122,0.7739964
123,0.0
124,0.0
125,0.0
126,0.9486009
127,0.1763228
128,0.0
129,0.0
130,0.1763228
131,0.3561438
132,0.0
133,0.0
134,0.0
135,0.2141248
136,1.584962
137,1.244887
138,2.763412
139,2.211012
140,0.9781957
141,0.0
142,1.035624
143,1.15056
144,0.0
145,1.636914
146,0.2986583
147,0.0
148,0.3219281
149,0.9781957
150,1.304511
151,0.0
152,0.2986583
153,0.0
154,0.0
155,1.333424
156,0.6690267
157,2.693766
158,0.6135316
159,0.641546
160,0.1634987
161,2.555816
162,1.851999
163,0.7311833
164,0.1763228
165,0.0
166,0.1763228
167,0.0
168,4.355439
169,0.0
170,0.4646683
171,0.1763228
172,0.0
173,2.513491
174,0.0
175,1.659925
176,0.2141248
177,0.0
178,0.0
179,0.0
180,0.3334237
181,0.5058909
182,0.0
183,0.0
184,0.2141248
185,1.584962
186,1.646163
187,0.2141248
188,1.070389
189,0.9927685
190,0.0
191,0.0
192,0.0
193,0.3561438
194,0.1763228
195,0.9107327
196,1.967169
197,0.0
198,0.3561438
199,0.0
200,0.0
201,0.0
202,0.5558162
203,1.02148
204,0.5753123
205,0.7907721
206,0.367371
207,0.8073549
208,0.2509616
209,0.0
210,0.0
211,0.7655348
212,0.0
213,0.9107327
214,0.0
215,2.028569
216,0.1763228
217,1.280956
218,0.3895667
219,0.8073549
220,0.1634987
221,0.7824086
222,0.5753123
223,0.0
224,0.0
225,0.0
226,0.4956951
227,0.0
228,0.0
229,0.4956951
230,0.0
231,0.1763228
232,0.0
233,0.3448285
234,0.4005378
235,0.1890338
236,0.0
237,0.3103401
238,0.0
239,0.704872
240,3.330559
241,0.4646683
242,0.0
243,0.2509616
244,0.4005378
245,0.9486009
246,0.2630345
247,0.1763228
248,0.3561438
249,0.0
250,1.22033
251,0.0
252,0.704872
253,0.0
254,0.6507645
255,1.85997
256,0.5753123
257,0.0
258,0.4329594
259,0.0
260,0.0
261,1.042644
262,0.6507645
263,0.7570233
264,0.5058909
265,0.0
266,0.4329594
267,0.0
268,0.0
269,0.0
270,0.1890338
271,0.9781957
272,0.0
273,0.7570233
274,0.5360529
275,0.0
276,0.0
277,0.6507645
278,0.7311833
279,0.0
280,0.0
281,1.769772
282,3.102658
283,0.4005378
284,0.0
285,0.2750071
286,1.510962
287,3.414135
288,1.443607
289,0.0
290,2.189034
291,0.0
292,0.4436067
293,0.0
294,0.6599245
295,0.6780719
296,0.9781957
297,0.0
298,2.372952
299,0.5849625
300,0.9708537
301,0.8237494
302,1.0
303,1.427606
304,0.4329594
305,0.0
306,0.1890338
307,0.2141248
308,0.0
309,0.0
310,0.2509616
311,1.599318
312,0.5459684
313,2.217231
314,0.0
315,0.5753123
316,0.0
317,0.6040713
318,0.3219281
319,0.2750071
320,0.2509616
321,0.0
322,0.8155754
323,0.0
324,1.0
325,0.3219281
326,0.0
327,0.1763228
328,0.0
329,1.786596
330,0.0
331,2.482848
332,0.0
333,0.0
334,0.367371
335,0.0
336,0.2265085
337,0.2750071
338,0.4750849
339,1.464668
340,0.1890338
341,0.1763228
342,0.8073549
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,1.189034
352,0.8399596
353,0.3219281
354,0.0
355,0.5058909
356,0.0
357,0.0
358,1.925999
359,2.025029
360,0.1763228
361,1.925999
362,0.0
363,0.6507645
364,0.0
365,0.1763228
366,0.3219281
367,1.604071
368,0.2141248
369,0.0
370,0.0
371,0.7570233
372,0.7907721
373,0.0
374,0.1763228
375,2.283922
376,0.0
377,0.0
378,0.5945485
379,0.2016338
380,0.0
381,2.443607
382,0.2868812
383,1.049631
384,0.3219281
385,0.4646683
386,0.1505597
387,0.4005378
388,0.0
389,0.0
390,1.298658
391,0.7136958
392,0.3785116
393,0.9781957
394,0.9855005
395,2.675816
396,0.9486009
397,0.0
398,2.673557
399,0.2509616
400,0.367371
